Date,Number
01/01/2008,129
02/01/2008,152
03/01/2008,120
04/01/2008,157
05/01/2008,128
06/01/2008,134
07/01/2008,180
08/01/2008,150
09/01/2008,145
10/01/2008,145
11/01/2008,153
12/01/2008,146
13/01/2008,135
14/01/2008,146
15/01/2008,147
16/01/2008,171
17/01/2008,159
18/01/2008,140
19/01/2008,152
20/01/2008,133
21/01/2008,163
22/01/2008,153
23/01/2008,155
24/01/2008,135
25/01/2008,144
26/01/2008,156
27/01/2008,171
28/01/2008,178
29/01/2008,158
30/01/2008,142
31/01/2008,166
01/02/2008,158
02/02/2008,140
03/02/2008,126
04/02/2008,165
05/02/2008,123
06/02/2008,141
07/02/2008,130
08/02/2008,122
09/02/2008,143
10/02/2008,128
11/02/2008,157
12/02/2008,143
13/02/2008,122
14/02/2008,120
15/02/2008,139
16/02/2008,141
17/02/2008,119
18/02/2008,119
19/02/2008,161
20/02/2008,157
21/02/2008,172
22/02/2008,166
23/02/2008,144
24/02/2008,128
25/02/2008,158
26/02/2008,128
27/02/2008,129
28/02/2008,160
29/02/2008,134
01/03/2008,140
02/03/2008,154
03/03/2008,148
04/03/2008,158
05/03/2008,182
06/03/2008,148
07/03/2008,146
08/03/2008,144
09/03/2008,133
10/03/2008,184
11/03/2008,158
12/03/2008,166
13/03/2008,137
14/03/2008,159
15/03/2008,131
16/03/2008,110
17/03/2008,160
18/03/2008,126
19/03/2008,149
20/03/2008,146
21/03/2008,140
22/03/2008,104
23/03/2008,128
24/03/2008,122
25/03/2008,159
26/03/2008,145
27/03/2008,121
28/03/2008,164
29/03/2008,174
30/03/2008,121
31/03/2008,142
01/04/2008,128
02/04/2008,136
03/04/2008,142
04/04/2008,155
05/04/2008,137
06/04/2008,146
07/04/2008,139
08/04/2008,135
09/04/2008,134
10/04/2008,141
11/04/2008,123
12/04/2008,154
13/04/2008,171
14/04/2008,145
15/04/2008,140
16/04/2008,155
17/04/2008,143
18/04/2008,146
19/04/2008,121
20/04/2008,162
21/04/2008,163
22/04/2008,145
23/04/2008,151
24/04/2008,129
25/04/2008,147
26/04/2008,128
27/04/2008,143
28/04/2008,143
29/04/2008,137
30/04/2008,139
01/05/2008,148
02/05/2008,139
03/05/2008,118
04/05/2008,142
05/05/2008,131
06/05/2008,117
07/05/2008,131
08/05/2008,143
09/05/2008,118
10/05/2008,121
11/05/2008,118
12/05/2008,139
13/05/2008,121
14/05/2008,128
15/05/2008,136
16/05/2008,112
17/05/2008,130
18/05/2008,148
19/05/2008,146
20/05/2008,151
21/05/2008,135
22/05/2008,145
23/05/2008,150
24/05/2008,131
25/05/2008,129
26/05/2008,108
27/05/2008,134
28/05/2008,120
29/05/2008,116
30/05/2008,118
31/05/2008,145
01/06/2008,132
02/06/2008,118
03/06/2008,80
04/06/2008,131
05/06/2008,124
06/06/2008,113
07/06/2008,145
08/06/2008,133
