datetime,Number,population,density
2008-01-01,129,12697164.0,1.0159749058923709e-05
2008-02-01,152,12697164.0,1.1971177185708557e-05
2008-03-01,120,12697164.0,9.450929357138334e-06
2008-04-01,157,12697164.0,1.2364965908922653e-05
2008-05-01,128,12697164.0,1.008099131428089e-05
2008-06-01,134,12697164.0,1.0553537782137807e-05
2008-07-01,180,12697164.0,1.4176394035707501e-05
2008-08-01,150,12697164.0,1.1813661696422919e-05
2008-09-01,145,12697164.0,1.141987297320882e-05
2008-10-01,145,12697164.0,1.141987297320882e-05
2008-11-01,153,12697164.0,1.2049934930351376e-05
2008-12-01,146,12697164.0,1.149863071785164e-05
2008-01-13,135,12697164.0,1.0632295526780626e-05
2008-01-14,146,12697164.0,1.149863071785164e-05
2008-01-15,147,12697164.0,1.1577388462494459e-05
2008-01-16,171,12697164.0,1.3467574333922126e-05
2008-01-17,159,12697164.0,1.2522481398208293e-05
2008-01-18,140,12697164.0,1.1026084249994723e-05
2008-01-19,152,12697164.0,1.1971177185708557e-05
2008-01-20,133,12697164.0,1.0474780037494988e-05
2008-01-21,163,12697164.0,1.283751237677957e-05
2008-01-22,153,12697164.0,1.2049934930351376e-05
2008-01-23,155,12697164.0,1.2207450419637015e-05
2008-01-24,135,12697164.0,1.0632295526780626e-05
2008-01-25,144,12697164.0,1.1341115228566001e-05
2008-01-26,156,12697164.0,1.2286208164279834e-05
2008-01-27,171,12697164.0,1.3467574333922126e-05
2008-01-28,178,12697164.0,1.4018878546421863e-05
2008-01-29,158,12697164.0,1.2443723653565473e-05
2008-01-30,142,12697164.0,1.1183599739280363e-05
2008-01-31,166,12697164.0,1.3073785610708028e-05
2008-01-02,158,12697164.0,1.2443723653565473e-05
2008-02-02,140,12697164.0,1.1026084249994723e-05
2008-03-02,126,12697164.0,9.923475824995251e-06
2008-04-02,165,12697164.0,1.2995027866065209e-05
2008-05-02,123,12697164.0,9.687202591066792e-06
2008-06-02,141,12697164.0,1.1104841994637542e-05
2008-07-02,130,12697164.0,1.0238506803566528e-05
2008-08-02,122,12697164.0,9.608444846423973e-06
2008-09-02,143,12697164.0,1.1262357483923182e-05
2008-10-02,128,12697164.0,1.008099131428089e-05
2008-11-02,157,12697164.0,1.2364965908922653e-05
2008-12-02,143,12697164.0,1.1262357483923182e-05
2008-02-13,122,12697164.0,9.608444846423973e-06
2008-02-14,120,12697164.0,9.450929357138334e-06
2008-02-15,139,12697164.0,1.0947326505351903e-05
2008-02-16,141,12697164.0,1.1104841994637542e-05
2008-02-17,119,12697164.0,9.372171612495515e-06
2008-02-18,119,12697164.0,9.372171612495515e-06
2008-02-19,161,12697164.0,1.2679996887493932e-05
2008-02-20,157,12697164.0,1.2364965908922653e-05
2008-02-21,172,12697164.0,1.3546332078564945e-05
2008-02-22,166,12697164.0,1.3073785610708028e-05
2008-02-23,144,12697164.0,1.1341115228566001e-05
2008-02-24,128,12697164.0,1.008099131428089e-05
2008-02-25,158,12697164.0,1.2443723653565473e-05
2008-02-26,128,12697164.0,1.008099131428089e-05
2008-02-27,129,12697164.0,1.0159749058923709e-05
2008-02-28,160,12697164.0,1.2601239142851113e-05
2008-02-29,134,12697164.0,1.0553537782137807e-05
2008-01-03,140,12697164.0,1.1026084249994723e-05
2008-02-03,154,12697164.0,1.2128692674994196e-05
2008-03-03,148,12697164.0,1.1656146207137278e-05
2008-04-03,158,12697164.0,1.2443723653565473e-05
2008-05-03,182,12697164.0,1.433390952499314e-05
2008-06-03,148,12697164.0,1.1656146207137278e-05
2008-07-03,146,12697164.0,1.149863071785164e-05
2008-08-03,144,12697164.0,1.1341115228566001e-05
2008-09-03,133,12697164.0,1.0474780037494988e-05
2008-10-03,184,12697164.0,1.449142501427878e-05
2008-11-03,158,12697164.0,1.2443723653565473e-05
2008-12-03,166,12697164.0,1.3073785610708028e-05
2008-03-13,137,12697164.0,1.0789811016066265e-05
2008-03-14,159,12697164.0,1.2522481398208293e-05
2008-03-15,131,12697164.0,1.0317264548209348e-05
2008-03-16,110,12697164.0,8.66335191071014e-06
2008-03-17,160,12697164.0,1.2601239142851113e-05
2008-03-18,126,12697164.0,9.923475824995251e-06
2008-03-19,149,12697164.0,1.1734903951780098e-05
2008-03-20,146,12697164.0,1.149863071785164e-05
2008-03-21,140,12697164.0,1.1026084249994723e-05
2008-03-22,104,12697164.0,8.190805442853223e-06
2008-03-23,128,12697164.0,1.008099131428089e-05
2008-03-24,122,12697164.0,9.608444846423973e-06
2008-03-25,159,12697164.0,1.2522481398208293e-05
2008-03-26,145,12697164.0,1.141987297320882e-05
2008-03-27,121,12697164.0,9.529687101781153e-06
2008-03-28,164,12697164.0,1.291627012142239e-05
2008-03-29,174,12697164.0,1.3703847567850584e-05
